name,stock,year,KOSPI,fnd_year,fiscal,ind,big4,forn,own,c_asset,inv,asset,sales,cogs,dep,tax,rec,ni,ocf,cash,tan,land,cip,intan,liab,c_liab,pti,total,equit,lag_asset,lag_liab,lag_equit,lag_sales,lag_total,lag1_ni,lag_c_asset,lag_c_liab,SIZE,LEV,CUR,GRW,ROA,ROE,CFO,PPE,AGE,INVREC,MB,TQ,LOSS,GETR,CETR,GETR3,CETR3,GETR5,CETR5,TSTA,TSDA,A_GETR,A_CETR,A_GETR3,A_CETR3,A_GETR5,A_CETR5
동화약품,20,2013,1,1897,12,21,1,0.0613,0.3114,1.17E+11,30436758000,3.16E+11,2.20E+11,1.25E+11,1127475000,2683752000,51211737000,1011860000,8205110000,28164088000,1.72E+11,58172867000,138718000,0.025487677,88934413000,73372612000,889905000,1.23E+11,2.27E+11,3.24E+11,97290002000,2.27E+11,2.23E+11,1.69E+11,1311241000,1.21E+11,82599853000,26.50488758,0.300014186,1.467747309,-0.014018866,0.003120283,0.004457638,0.025302183,0.350280861,4.762173935,0.251780309,0.539622371,0.669122297,0,0,1,0.308500578,0.169812305,0.294413763,0.266120711,-0.071862732,-0.088363107,-0.236478976,0.74850261,0.058765276,-0.096755756,0.034497364,-0.01977899
동화약품,20,2014,1,1897,12,21,1,0.0502,0.3151,1.21E+11,28382297000,3.13E+11,2.13E+11,1.18E+11,956902000,1751737000,52886308000,4937205000,13514668000,32623181000,1.62E+11,58172867000,167500000,0.022480619,83347317000,68915135000,5401942000,1.56E+11,2.30E+11,3.16E+11,88934413000,2.27E+11,2.20E+11,1.23E+11,1011860000,1.17E+11,73372612000,26.47953178,0.281290658,1.591328628,-0.030731985,0.015615886,0.021727679,0.042745544,0.327403707,4.770684624,0.257044473,0.677233517,0.763161437,0,0.086031468,1,0.750728013,1,0.233461309,0.418782872,-0.001225975,-0.014614091,-0.150709777,0.74850261,0.500992711,0.733431939,-0.026455089,0.132883171
동화약품,20,2015,1,1897,12,21,1,0.0749,0.3235,1.35E+11,26150930000,3.17E+11,2.23E+11,1.27E+11,868352000,2003271000,53924795000,5608652000,19833109000,44889376000,1.52E+11,58172867000,52900000,0.020544071,87069288000,69149048000,6000623000,2.27E+11,2.30E+11,3.13E+11,83347317000,2.30E+11,2.13E+11,1.56E+11,4937205000,1.21E+11,68915135000,26.46970255,0.266223182,1.749219573,0.045575689,0.017914832,0.024414552,0.06334977,0.298816896,4.779123493,0.255773252,0.988024643,0.991311934,0,0.065321717,0.226972266,0.054480346,1,0.231592881,0.528209402,0.072993507,0.056283143,-0.171419528,-0.024525123,-0.195254956,0.733431939,-0.028323517,0.2423097
동화약품,20,2016,1,1897,12,21,1,0.0746,0.3229,1.51E+11,26577327000,3.25E+11,2.37E+11,1.34E+11,862301000,1719227000,54468280000,26254318000,25482188000,35730377000,1.42E+11,58197518000,163250000,0.020310846,71679237000,55452076000,35655076000,2.27E+11,2.53E+11,3.17E+11,87069288000,2.30E+11,2.23E+11,2.27E+11,5608652000,1.35E+11,69149048000,26.48275744,0.274504566,1.952516917,0.063931308,0.082772357,0.114090803,0.080338052,0.26422942,4.787491743,0.255513622,0.896723262,0.919528851,0,0.263658336,0.057260318,0.07513292,0.593817356,0.306044161,0.325968445,0.106756061,0.107569542,0.026917091,-0.194237071,-0.174602382,0.327249295,0.046127763,0.040068743
동화약품,20,2017,1,1897,12,21,1,0.1186,0.324,2.35E+11,36606243000,3.67E+11,2.59E+11,1.51E+11,892054000,1937739000,62395251000,47009013000,-16519975000,31588170000,1.04E+11,30408585000,1008250000,0.018906162,70280405000,60716649000,65218743000,2.72E+11,2.97E+11,3.25E+11,71679237000,2.53E+11,2.37E+11,2.27E+11,26254318000,1.51E+11,55452076000,26.50587347,0.220820195,2.731941866,0.090161733,0.144819334,0.185861252,-0.050892619,0.22282346,4.795790546,0.304991098,0.917113437,0.932976461,0,0.279210058,0.093748296,0.235087377,0.081707811,0.250474238,0.216418946,-0.061506345,0.008744169,0.042468813,-0.157749094,-0.014647925,-0.18486025,-0.00944216,-0.069480756
동화약품,20,2018,1,1897,12,21,1,0.0829,0.3238,2.26E+11,43717603000,3.70E+11,3.07E+11,1.91E+11,963313000,1571355000,74693623000,10074475000,-234708000,39729885000,96772495000,30408585000,1327526000,0.015198222,73197485000,60797176000,14545424000,2.54E+11,2.97E+11,3.67E+11,70280405000,2.97E+11,2.59E+11,2.72E+11,47009013000,2.35E+11,60716649000,26.62924094,0.191382339,3.8622031,0.184335113,0.027434056,0.033927105,-0.000639139,0.177102214,4.804021045,0.322448589,0.855531991,0.884089518,0,0.307378458,1,0.273713113,0.080851177,0.259719882,0.250457429,-0.137513399,-0.110088796,0.070637213,0.74850261,0.023977811,-0.185716884,-0.000196516,-0.035442273
동화약품,20,2019,1,1897,12,21,1,0.0604,0.3236,2.35E+11,33430792000,3.76E+11,3.07E+11,1.85E+11,2355535000,1712689000,73034723000,9529176000,14120290000,37729876000,92308557000,30812831000,1228990000,0.014757586,74852729000,55714627000,16743189000,2.32E+11,3.02E+11,3.70E+11,73197485000,2.97E+11,3.07E+11,2.54E+11,10074475000,2.26E+11,60797176000,26.63756447,0.197673703,3.723573131,0.001785494,0.025734047,0.032074291,0.038132595,0.162753528,4.812184355,0.287515789,0.769564717,0.81538215,0,0.430862544,0.282954997,0.284346717,0.287733237,0.287250604,0.225038213,-0.057670195,-0.052032645,0.194121298,0.031457608,0.034611415,0.021165176,0.027334206,-0.060861489
동화약품,20,2020,1,1897,12,21,1,0.0314,0.3366,2.05E+11,35666497000,4.05E+11,2.67E+11,1.32E+11,2936278000,1746840000,53393448000,28442849000,51036157000,50589855000,1.13E+11,52769543000,3337834000,0.012575975,74175307000,53627734000,33392168000,5.49E+11,3.31E+11,3.76E+11,74852729000,3.02E+11,3.07E+11,2.32E+11,9529176000,2.35E+11,55714627000,26.65409381,0.198829938,4.224199204,-0.129288991,0.075552221,0.094302351,0.135566412,0.151580149,4.820281566,0.236568306,1.657391721,1.537089162,0,0.148217959,0.14033123,0.373457366,0.689523214,0.267251825,0.207882813,0.03899397,0.01727517,-0.088523286,-0.11116616,0.123722064,0.422955153,0.007335427,-0.078016889
동화약품,20,2021,1,1897,12,21,1,0.0237,0.3366,1.98E+11,32225321000,4.16E+11,2.72E+11,1.38E+11,2688046000,1596037000,51258098000,14734485000,30534128000,54394458000,1.28E+11,55825694000,11724111000,0.015621312,72008191000,57463664000,21520508000,4.08E+11,3.44E+11,4.05E+11,74175307000,3.31E+11,2.67E+11,5.49E+11,28442849000,2.05E+11,53627734000,26.72796732,0.182999808,3.818199908,0.017851849,0.036351827,0.04449427,0.075331533,0.149296993,4.828313737,0.20596409,1.184568012,1.152640473,0,0.315328198,0.446214281,0.242609861,0.187961821,0.274930823,0.277222851,-0.019830428,-0.02092371,0.078586952,0.194716891,-0.007125441,-0.07860624,0.015014424,-0.008676851
동화약품,20,2022,1,1897,12,21,1,0.0423,0.3366,2.00E+11,41363911000,4.30E+11,3.16E+11,1.52E+11,2349040000,1760712000,53342585000,18208234000,27241219000,28776323000,1.38E+11,57409884000,21595211000,0.009187488,70083130000,66243507000,20948525000,2.59E+11,3.60E+11,4.16E+11,72008191000,3.44E+11,2.72E+11,4.08E+11,14734485000,1.98E+11,57463664000,26.7545948,0.172985226,3.452345277,0.160590103,0.043741628,0.052890987,0.065441561,0.141800294,4.836281907,0.227513348,0.718875856,0.764708026,0,0.130810737,0.366955478,0.213709163,0.26020808,0.244149719,0.406441424,-0.033021372,-0.02532927,-0.105930508,0.115458088,-0.03602614,-0.006359981,-0.015766679,0.120541722
동화약품,20,2023,1,1897,12,21,0,0.0486,0.3366,1.69E+11,48543263000,4.74E+11,3.35E+11,1.62E+11,2705867000,2007859000,55517915000,26166351000,28276051000,49675321000,1.58E+11,59438956000,33906109000,0.011242579,98235859000,72220674000,34900927000,2.87E+11,3.76E+11,4.30E+11,70083130000,3.60E+11,3.16E+11,2.59E+11,18208234000,2.00E+11,66243507000,26.78675808,0.163031779,3.023086217,0.060795894,0.060869809,0.072726548,0.065777526,0.150575652,4.844187086,0.242073649,0.76366614,0.812659866,0,0.250267736,0.167103212,0.22431203,0.407118617,0.238611406,0.255248367,-0.011798811,0.000326815,0.013526491,-0.084394178,-0.025423272,0.140550556,-0.021304992,-0.030651334
동화약품,20,2024,1,1897,12,21,0,0.0316,0.3364,1.74E+11,55800326000,5.33E+11,3.64E+11,1.79E+11,2881141000,1900665000,69328989000,10043699000,3442573000,16243372000,1.84E+11,59369218000,62494749000,0.08685501,1.52E+11,97140567000,14406499000,1.76E+11,3.81E+11,4.74E+11,98235859000,3.76E+11,3.35E+11,2.87E+11,26166351000,1.69E+11,72220674000,26.88419036,0.207307265,2.334448194,0.085524503,0.021195231,0.026738269,0.007264866,0.130145852,4.852030264,0.264060561,0.461710261,0.615302192,0,0.302835547,0.295608392,0.205460709,0.242065634,0.220286909,0.256187495,-0.067752099,-0.040320756,0.066094301,0.044111002,-0.044274593,-0.024502427,-0.039629489,-0.029712207
